Date,max_temp,min-temp,grass_temp,max_humid,min_humid,rainfall,sunshine,UV,
﻿2000-12-16,22.6,18.6,17.9,84,67,0,4.7,1.9,
﻿2000-12-17,23.9,19.7,17.8,88,61,0,5.1,2.2,
﻿2000-12-18,22.9,19.8,18.8,91,76,TRACE,0.7,1.6,
﻿2000-12-19,22.1,19.5,19.0,93,79,2.4,0,1.0,
﻿2000-12-20,23.1,17.3,18.5,96,71,0.6,0.3,1.0,
﻿2000-12-21,17.9,13.9,14.0,72,62,0,2.4,1.5,
﻿2000-12-22,17.3,12.6,11.4,80,62,0,2.9,1.5,
﻿2000-12-23,19.5,12.9,11.0,75,40,0,9.6,2.5,
﻿2000-12-24,20.0,15.2,12.5,82,51,0,9.8,2.4,
﻿2000-12-25,20.5,16.4,14.0,86,49,0,9.6,2.4,
﻿2000-12-26,20.6,16.6,14.6,81,62,0,5.0,1.8,
﻿2000-12-27,20.6,18.0,16.2,81,62,0.2,1.7,1.6,
﻿2000-12-28,22.6,18.5,16.1,83,59,0,8.8,2.2,
﻿2000-12-29,20.6,17.2,15.2,86,68,0,8.5,1.9,
﻿2000-12-30,21.6,16.2,13.8,88,42,0,8.9,1.9,
﻿2000-12-31,19.3,14.4,12.3,66,49,0,9.3,2.2,
2001-01-01,17.9,15.1,12.7,78,64,0,5.0,2.0,
﻿2001-01-02,19.8,16.0,13.8,84,71,0,1.6,1.7,
﻿2001-01-03,19.8,17.1,14.9,89,76,0,9.6,2.5,
﻿2001-01-04,19.4,17.7,15.9,87,74,TRACE,0.9,1.2,
﻿2001-01-05,19.9,17.6,16.2,85,69,TRACE,6.9,2.3,
﻿2001-01-06,20.4,17.9,16.3,89,73,0,6.8,2.6,
﻿2001-01-07,23.2,17.3,15.4,91,66,0,8.8,2.0,
﻿2001-01-08,20.8,18.8,16.4,87,75,0,6.7,2.2,
﻿2001-01-09,22.9,15.3,15.5,86,61,0,6.0,2.0,
﻿2001-01-10,17.7,13.2,12.6,77,65,0,0,1.0,
﻿2001-01-11,18.1,14.7,13.6,88,76,0.4,0,1.0,
﻿2001-01-12,19.0,17.5,16.1,87,74,0,2.9,1.7,
﻿2001-01-13,19.4,15.1,13.7,94,56,0.7,3.8,1.6,
﻿2001-01-14,18.1,14.7,13.4,76,60,0,9.2,2.4,
﻿2001-01-15,16.1,13.4,12.3,71,57,0,0.5,1.1,
﻿2001-01-16,16.6,13.7,12.8,73,56,TRACE,3.2,1.9,
﻿2001-01-17,17.6,14.5,12.9,77,58,0,9.6,2.8,
﻿2001-01-18,21.2,15.6,13.5,82,66,0,6.1,2.2,
﻿2001-01-19,21.5,18.1,15.9,86,64,0,7.6,2.8,
﻿2001-01-20,23.3,18.2,15.2,84,62,0,9.3,2.7,
﻿2001-01-21,20.1,18.2,16.6,90,79,0,1.6,1.3,
﻿2001-01-22,21.8,18.5,17.1,89,80,0,3.6,2.3,
﻿2001-01-23,20.4,17.6,18.3,95,89,0.3,0,0.7,
﻿2001-01-24,20.2,17.7,16.8,95,89,TRACE,0,0.9,
﻿2001-01-25,21.0,16.0,18.6,97,93,2.3,0,0.6,
﻿2001-01-26,16.2,11.4,12.6,96,62,27.3,0.4,1.1,
﻿2001-01-27,13.8,11.2,10.2,95,65,6.4,0,0.6,
﻿2001-01-28,12.9,9.8,9.1,96,74,10.2,0,0.6,
﻿2001-01-29,15.2,12.3,11.2,77,59,0,0,1.4,
﻿2001-01-30,17.3,14.5,12.8,85,67,0,0.2,1.9,
﻿2001-01-31,18.5,15.8,14.1,87,78,0,0.2,1.6,
﻿2001-02-01,19.0,15.6,15.6,88,75,TRACE,0,1.1,
﻿2001-02-02,15.7,13.2,13.1,89,79,TRACE,0,0.6,
﻿2001-02-03,16.3,14.1,13.3,93,90,0.1,0,0.7,
﻿2001-02-04,16.1,14.7,14.2,97,87,TRACE,0,0.8,
﻿2001-02-05,18.8,15.9,14.5,94,82,TRACE,4.5,2.1,
﻿2001-02-06,21.7,17.4,15.5,93,76,0,8.5,3.1,
﻿2001-02-07,23.6,16.7,16.5,94,70,0,6.3,2.1,
﻿2001-02-08,17.0,14.6,14.0,77,70,0,0,0.7,
﻿2001-02-09,17.7,14.5,13.6,81,69,TRACE,1.9,1.9,
﻿2001-02-10,17.3,13.9,13.9,85,70,1.0,0.7,1.7,
﻿2001-02-11,19.0,15.4,13.3,88,71,TRACE,3.0,2.1,
﻿2001-02-12,22.8,16.8,15.2,90,65,0,8.0,3.1,
﻿2001-02-13,20.4,13.7,15.9,93,63,TRACE,0.7,1.7,
﻿2001-02-14,15.9,10.5,9.1,69,58,0,2.0,2.4,
﻿2001-02-15,18.0,12.5,10.1,76,49,0,10.0,3.3,
﻿2001-02-16,18.9,14.9,12.5,83,50,0,8.0,3.0,
﻿2001-02-17,17.8,14.8,12.7,82,62,0,6.8,3.1,
﻿2001-02-18,22.8,16.4,14.0,86,65,0,8.8,3.8,
﻿2001-02-19,24.1,17.8,15.0,90,62,0,10.2,3.2,
﻿2001-02-20,22.3,17.9,15.4,84,63,0,10.4,3.7,
﻿2001-02-21,23.2,18.5,16.4,83,67,0,4.4,2.5,
﻿2001-02-22,24.2,18.9,16.4,88,62,0,10.3,3.5,
﻿2001-02-23,25.3,17.7,15.9,91,55,0,10.2,3.4,
﻿2001-02-24,26.0,18.6,17.7,97,58,0,7.1,1.9,
﻿2001-02-25,19.4,12.9,14.9,94,68,8.8,0,0.4,
﻿2001-02-26,16.7,12.9,12.1,91,80,TRACE,0,1.2,
﻿2001-02-27,20.4,16.6,14.5,86,75,TRACE,0.6,2.2,
